GenArtNo;genart_en;standardised_article_description;assembly_groups;purpose_of_use;Delete
9046;Fuel Sender Unit Wrench;Fuel Sender Unit Wrench;Tool, vehicle specific;Fuel Sender Unit;0
9048;Gauge, charge checking light;Gauge;Instruments;Charge Checking Light;0
9049;Fuel Sender Unit Wrench Set;Fuel Sender Unit Wrench Set;Tool, vehicle specific;Fuel Sender Unit;0
9050;Wheel Sensor Set, tyre-pressure monitoring system;Sensor Kit;Wheels, universal;Tyre-Pressure Monitoring System;0
9051;Seal, differential housing cover;Gasket/Seal;Axle Drive;Differential Housing Cover;0
9052;Steel Lever, vice;Steel Lever;Tool, universal;Vice;0
9053;Camber Correction Screw Set;Bolt Kit;Wheel Suspension;Camber Adjustment;0
9054;Ring, differential housing bearing;Ring;Axle Drive;Differential Housing Bearing;0
9055;Intermediate Shaft Guide, oil pump;Guide;Lubrication;Intermediate Shaft Guide Oil Pump;0
9056;Seal Set, transmission output shaft (auto. trans.);Gasket Set;Automatic Transmission;Transmission Output Shaft (automatic transmission);0
9057;Sealing Ring, oil pump (automatic transmission);Seal Ring;Automatic Transmission;Oil Pump (automatic transmission);0
9058;Repair Set, evaporator (air conditioning);Repair Kit;Air Conditioning;Evaporator (air conditioning);0
9059;Fastener Clamp Set, steel piping;Fastener Clamp Set;Tool, universal;NULL;0
9060;Cutting Wheel Axle, pipe cutter;Cutting Wheel Axle;Tool, universal;Pipe Cutter;0
9061;Gauge Set, tie rod;Gauge Set;Tool, vehicle specific;Tie Rod;0
9062;Socket Wrench Insert, track rod end;Socket Wrench Insert;Tool, universal;Track Rod End;0
9063;Puller, spindle nut;Puller;Tool, universal;NULL;0
9064;Assortment, expansion anchors/anchor plugs;Assortment;Standard Parts;NULL;0
9065;Suction Cup, windscreen set-down table;Suction Disc;Tool, universal;NULL;0
9066;Hose, cooling system test set;Hose;Tool, vehicle specific;Cooling System Pressure Test Set;0
9067;Assortment, hex. nuts;Assortment;Standard Parts;NULL;0
9068;Assortment, carabiner hooks;Assortment;Standard Parts;NULL;0
9069;Assortment, screw hooks;Assortment;Standard Parts;NULL;0
9070;Screw-Locking Wire;Screw-Locking Wire;Standard Parts;NULL;0
9071;Sanding Pad Mount;Holder;Tool, universal;NULL;0
9072;Mounting Tool Set, brake piston;Mounting Tool Set;Special Tools, motorcycle, universal;Brake Caliper Piston;0
9073;Diamond Core Drill Bit Set;Diamond Core Drill Bit Set;Tool, universal;NULL;0
9074;Earth Cable, ignition coil;Earth Cable;Ignition System;Ignition Coil;0
9075;Repair Kit, breaker bar;Repair Kit;Tool, universal;Breaker Bar;0
9076;Repair Kit, needle scaler (compressed air);Repair Kit;Tool, universal;Needle Scaler;0
9077;Bleeding Tool Kit, fuel system;Tool Set;Tool, vehicle specific;Fuel system;0
9078;Feeler Gauge;Feeler Gauge;Tool, vehicle specific;NULL;0
9079;Adjustment Gauge, clutch control;Feeler Gauge;Tool, vehicle specific;Basic Setting, clutch control;0
9080;Retaining Tool, injection pump;Retaining Tool;Tool, vehicle specific;Injection Pump;0
9081;Relay, rotating beacon;Relay;Signal System;Rotating Beacon;0
9082;Reservoir, oil bleeding device;Tank;Tool, universal;NULL;0
9083;Seal Set, push rod;Gasket Set;Engine Timing;Push Rod;0
9084;Sleeve Set, cable connector release tool;Sleeve Set;Tool, universal;Cable Connector;0
9085;Hydraulic Cylinder, workshop crane;Hydraulic Cylinder;Tool, universal;Workshop Crane;0
9086;Bleeding Tool Kit, brake master cylinder;Tool Set;Tool, vehicle specific;Brake Master Cylinder;0
9087;Replacement Cap, refractometer;Replacement Cap;Tool, universal;Refractometer;0
9088;Fork Cap Socket;Fork Cap Socket;Special Tools, motorcycle, universal;NULL;0
9089;Pulse Generator Wheel, ignition distributor;Pulse Generator Wheel;Ignition System;Ignition Distributor;0
9090;Drift, fork seal ring;Punsh;Special Tools, motorcycle, universal;Fork (motorcycle);0
9091;Gear Set, window motor;Gear Set;Comfort Systems;Window Motor;0
9092;Castor, workshop creeper;Pulley;Workshop Equipment;Workshop Creeper;0
